ticker,name,market,source,sector
018670.KS,SK가스,KOSPI,naver_kospi,
007070.KS,GS리테일,KOSPI,naver_kospi,
161890.KS,한국콜마,KOSPI,naver_kospi,
093370.KS,후성,KOSPI,naver_kospi,
097230.KS,HJ중공업,KOSPI,naver_kospi,
192820.KS,코스맥스,KOSPI,naver_kospi,
000120.KS,CJ대한통운,KOSPI,naver_kospi,
229640.KS,LS에코에너지,KOSPI,naver_kospi,
462870.KS,시프트업,KOSPI,naver_kospi,
002790.KS,아모레퍼시픽홀딩스,KOSPI,naver_kospi,
152100.KS,PLUS 200,KOSPI,naver_kospi,
112610.KS,씨에스윈드,KOSPI,naver_kospi,
281820.KS,케이씨텍,KOSPI,naver_kospi,
001430.KS,세아베스틸지주,KOSPI,naver_kospi,
023590.KS,다우기술,KOSPI,naver_kospi,
322000.KS,HD현대에너지솔루션,KOSPI,naver_kospi,
017960.KS,한국카본,KOSPI,naver_kospi,
001800.KS,오리온홀딩스,KOSPI,naver_kospi,
368590.KS,RISE 미국나스닥100,KOSPI,naver_kospi,
442580.KS,PLUS 글로벌HBM반도체,KOSPI,naver_kospi,
001120.KS,LX인터내셔널,KOSPI,naver_kospi,
379780.KS,RISE 미국S&P500,KOSPI,naver_kospi,
361610.KS,SK아이이테크놀로지,KOSPI,naver_kospi,
192080.KS,더블유게임즈,KOSPI,naver_kospi,
005070.KS,코스모신소재,KOSPI,naver_kospi,
006040.KS,동원산업,KOSPI,naver_kospi,
006280.KS,녹십자,KOSPI,naver_kospi,
477080.KS,RISE CD금리액티브(합성),KOSPI,naver_kospi,
475150.KS,SK이터닉스,KOSPI,naver_kospi,
003540.KS,대신증권,KOSPI,naver_kospi,
020560.KS,아시아나항공,KOSPI,naver_kospi,
298020.KS,효성티앤씨,KOSPI,naver_kospi,
032350.KS,롯데관광개발,KOSPI,naver_kospi,
069620.KS,대웅제약,KOSPI,naver_kospi,
034230.KS,파라다이스,KOSPI,naver_kospi,
073240.KS,금호타이어,KOSPI,naver_kospi,
003570.KS,SNT다이내믹스,KOSPI,naver_kospi,
195870.KS,해성디에스,KOSPI,naver_kospi,
449450.KS,PLUS K방산,KOSPI,naver_kospi,
001820.KS,삼화콘덴서,KOSPI,naver_kospi,
007310.KS,오뚜기,KOSPI,naver_kospi,
