ticker,name,market,sector,source
005030.KS,부산주공,KOSPI,,naver_kospi
005070.KS,코스모신소재,KOSPI,,naver_kospi
005090.KS,SGC에너지,KOSPI,,naver_kospi
005110.KS,한창,KOSPI,,naver_kospi
005160.KQ,동국산업,KOSDAQ,,naver_kosdaq
005180.KS,빙그레,KOSPI,,naver_kospi
005250.KS,녹십자홀딩스,KOSPI,,naver_kospi
005290.KQ,동진쎄미켐,KOSDAQ,,naver_kosdaq
005300.KS,롯데칠성,KOSPI,,naver_kospi
005320.KS,온타이드,KOSPI,,naver_kospi
005360.KS,모나미,KOSPI,,naver_kospi
005380.KS,현대차,KOSPI,자동차,custom_kr;naver_kospi
005420.KS,코스모화학,KOSPI,,naver_kospi
005430.KS,한국공항,KOSPI,,naver_kospi
005440.KS,현대지에프홀딩스,KOSPI,,naver_kospi
005490.KS,POSCO홀딩스,KOSPI,,naver_kospi
005500.KS,삼진제약,KOSPI,,naver_kospi
005610.KS,삼립,KOSPI,,naver_kospi
005670.KQ,푸드웰,KOSDAQ,,naver_kosdaq
005680.KS,삼영전자,KOSPI,,naver_kospi
005690.KS,파미셀,KOSPI,,naver_kospi
005710.KQ,대원산업,KOSDAQ,,naver_kosdaq
005720.KS,넥센,KOSPI,,naver_kospi
005740.KS,크라운해태홀딩스,KOSPI,,naver_kospi
005750.KS,대림바스,KOSPI,,naver_kospi
005800.KS,신영와코루,KOSPI,,naver_kospi
005810.KS,풍산홀딩스,KOSPI,,naver_kospi
005820.KS,원림,KOSPI,,naver_kospi
005830.KS,DB손해보험,KOSPI,,naver_kospi
005850.KS,에스엘,KOSPI,,naver_kospi
005860.KQ,한일사료,KOSDAQ,,naver_kosdaq
005870.KS,휴니드,KOSPI,,naver_kospi
005880.KS,대한해운,KOSPI,,naver_kospi
005930.KS,삼성전자,KOSPI,반도체,custom_kr;naver_kospi
005940.KS,NH투자증권,KOSPI,,naver_kospi
005950.KS,이수화학,KOSPI,,naver_kospi
005960.KS,동부건설,KOSPI,,naver_kospi
005990.KQ,매일홀딩스,KOSDAQ,,naver_kosdaq
006040.KS,동원산업,KOSPI,,naver_kospi
006050.KQ,국영지앤엠,KOSDAQ,,naver_kosdaq
006060.KS,화승인더,KOSPI,,naver_kospi
006090.KS,사조오양,KOSPI,,naver_kospi
006110.KS,삼아알미늄,KOSPI,,naver_kospi
006120.KS,SK디스커버리,KOSPI,,naver_kospi
006140.KQ,피제이전자,KOSDAQ,,naver_kosdaq
006200.KS,한국전자홀딩스,KOSPI,,naver_kospi
006220.KS,제주은행,KOSPI,,naver_kospi
006260.KS,LS,KOSPI,,naver_kospi
006280.KS,녹십자,KOSPI,,naver_kospi
006340.KS,대원전선,KOSPI,,naver_kospi
006360.KS,GS건설,KOSPI,,naver_kospi
006370.KS,대구백화점,KOSPI,,naver_kospi
006380.KS,카프로,KOSPI,,naver_kospi
006400.KS,삼성SDI,KOSPI,2차전지,custom_kr;naver_kospi
006490.KS,인스코비,KOSPI,,naver_kospi
006570.KS,대림통상,KOSPI,,naver_kospi
006620.KQ,동구바이오제약,KOSDAQ,,naver_kosdaq
006650.KS,대한유화,KOSPI,,naver_kospi
006660.KS,삼성공조,KOSPI,,naver_kospi
006730.KQ,서부T&D,KOSDAQ,,naver_kosdaq
006740.KS,블루산업개발,KOSPI,,naver_kospi
006800.KS,미래에셋증권,KOSPI,,naver_kospi
006840.KS,AK홀딩스,KOSPI,,naver_kospi
006880.KS,신송홀딩스,KOSPI,,naver_kospi
006890.KS,태경케미컬,KOSPI,,naver_kospi
006910.KQ,보성파워텍,KOSDAQ,,naver_kosdaq
006920.KQ,모헨즈,KOSDAQ,,naver_kosdaq
006980.KS,우성,KOSPI,,naver_kospi
007070.KS,GS리테일,KOSPI,,naver_kospi
007110.KS,일신석재,KOSPI,,naver_kospi
007120.KS,미래아이앤지,KOSPI,,naver_kospi
007160.KS,사조산업,KOSPI,,naver_kospi
007210.KS,벽산,KOSPI,,naver_kospi
007280.KS,한국특강,KOSPI,,naver_kospi
007310.KS,오뚜기,KOSPI,,naver_kospi
007330.KQ,푸른저축은행,KOSDAQ,,naver_kosdaq
007340.KS,DN오토모티브,KOSPI,,naver_kospi
007370.KQ,진양제약,KOSDAQ,,naver_kosdaq
007390.KQ,네이처셀,KOSDAQ,,naver_kosdaq
007460.KS,에이프로젠,KOSPI,,naver_kospi
007530.KQ,와이엠,KOSDAQ,,naver_kosdaq
007540.KS,샘표,KOSPI,,naver_kospi
007570.KS,일양약품,KOSPI,,naver_kospi
007590.KS,동방아그로,KOSPI,,naver_kospi
