ticker,name,market,source,sector
340570.KQ,티앤엘,KOSDAQ,naver_kosdaq,
356680.KQ,엑스게이트,KOSDAQ,naver_kosdaq,
099190.KQ,아이센스,KOSDAQ,naver_kosdaq,
041190.KQ,우리기술투자,KOSDAQ,naver_kosdaq,
024850.KQ,HLB이노베이션,KOSDAQ,naver_kosdaq,
042000.KQ,카페24,KOSDAQ,naver_kosdaq,
251970.KQ,펌텍코리아,KOSDAQ,naver_kosdaq,
114810.KQ,한솔아이원스,KOSDAQ,naver_kosdaq,
101160.KQ,월덱스,KOSDAQ,naver_kosdaq,
034950.KQ,한국기업평가,KOSDAQ,naver_kosdaq,
060280.KQ,큐렉소,KOSDAQ,naver_kosdaq,
018290.KQ,브이티,KOSDAQ,naver_kosdaq,
025980.KQ,아난티,KOSDAQ,naver_kosdaq,
393890.KQ,더블유씨피,KOSDAQ,naver_kosdaq,
036620.KQ,감성코퍼레이션,KOSDAQ,naver_kosdaq,
144960.KQ,뉴파워프라즈마,KOSDAQ,naver_kosdaq,
372320.KQ,큐로셀,KOSDAQ,naver_kosdaq,
092190.KQ,서울바이오시스,KOSDAQ,naver_kosdaq,
078350.KQ,한양디지텍,KOSDAQ,naver_kosdaq,
095660.KQ,네오위즈,KOSDAQ,naver_kosdaq,
290550.KQ,디케이티,KOSDAQ,naver_kosdaq,
079940.KQ,가비아,KOSDAQ,naver_kosdaq,
215200.KQ,메가스터디교육,KOSDAQ,naver_kosdaq,
078130.KQ,국일제지,KOSDAQ,naver_kosdaq,
389500.KQ,에스비비테크,KOSDAQ,naver_kosdaq,
101930.KQ,인화정공,KOSDAQ,naver_kosdaq,
425040.KQ,티이엠씨,KOSDAQ,naver_kosdaq,
493280.KQ,아이엠바이오로직스,KOSDAQ,naver_kosdaq,
025320.KQ,시노펙스,KOSDAQ,naver_kosdaq,
025900.KQ,동화기업,KOSDAQ,naver_kosdaq,
006910.KQ,보성파워텍,KOSDAQ,naver_kosdaq,
013030.KQ,하이록코리아,KOSDAQ,naver_kosdaq,
138080.KQ,오이솔루션,KOSDAQ,naver_kosdaq,
199800.KQ,툴젠,KOSDAQ,naver_kosdaq,
064260.KQ,다날,KOSDAQ,naver_kosdaq,
092870.KQ,엑시콘,KOSDAQ,naver_kosdaq,
078160.KQ,메디포스트,KOSDAQ,naver_kosdaq,
085910.KQ,네오티스,KOSDAQ,naver_kosdaq,
052710.KQ,아모텍,KOSDAQ,naver_kosdaq,
417840.KQ,저스템,KOSDAQ,naver_kosdaq,
080580.KQ,오킨스전자,KOSDAQ,naver_kosdaq,
304360.KQ,에스바이오메딕스,KOSDAQ,naver_kosdaq,
065680.KQ,우주일렉트로,KOSDAQ,naver_kosdaq,
394280.KQ,오픈엣지테크놀로지,KOSDAQ,naver_kosdaq,
107640.KQ,한중엔시에스,KOSDAQ,naver_kosdaq,
424870.KQ,이뮨온시아,KOSDAQ,naver_kosdaq,
455900.KQ,엔젤로보틱스,KOSDAQ,naver_kosdaq,
036200.KQ,유니셈,KOSDAQ,naver_kosdaq,
265520.KQ,AP시스템,KOSDAQ,naver_kosdaq,
482630.KQ,삼양엔씨켐,KOSDAQ,naver_kosdaq,
452280.KQ,한선엔지니어링,KOSDAQ,naver_kosdaq,
468530.KQ,프로티나,KOSDAQ,naver_kosdaq,
079370.KQ,제우스,KOSDAQ,naver_kosdaq,
117730.KQ,티로보틱스,KOSDAQ,naver_kosdaq,
067630.KQ,HLB생명과학,KOSDAQ,naver_kosdaq,
254490.KQ,미래반도체,KOSDAQ,naver_kosdaq,
078020.KQ,LS증권,KOSDAQ,naver_kosdaq,
332570.KQ,PS일렉트로닉스,KOSDAQ,naver_kosdaq,
354320.KQ,알멕,KOSDAQ,naver_kosdaq,
042520.KQ,한스바이오메드,KOSDAQ,naver_kosdaq,
119850.KQ,지엔씨에너지,KOSDAQ,naver_kosdaq,
003800.KQ,에이스침대,KOSDAQ,naver_kosdaq,
047920.KQ,HLB제약,KOSDAQ,naver_kosdaq,
069540.KQ,빛과전자,KOSDAQ,naver_kosdaq,
389650.KQ,넥스트바이오메디컬,KOSDAQ,naver_kosdaq,
215600.KQ,신라젠,KOSDAQ,naver_kosdaq,
098070.KQ,한텍,KOSDAQ,naver_kosdaq,
243070.KQ,휴온스,KOSDAQ,naver_kosdaq,
230240.KQ,에치에프알,KOSDAQ,naver_kosdaq,
179900.KQ,유티아이,KOSDAQ,naver_kosdaq,
086390.KQ,유니테스트,KOSDAQ,naver_kosdaq,
187660.KQ,페니트리움바이오,KOSDAQ,naver_kosdaq,
206650.KQ,유바이오로직스,KOSDAQ,naver_kosdaq,
084110.KQ,휴온스글로벌,KOSDAQ,naver_kosdaq,
488900.KQ,비츠로넥스텍,KOSDAQ,naver_kosdaq,
376270.KQ,HEM파마,KOSDAQ,naver_kosdaq,
036890.KQ,진성티이씨,KOSDAQ,naver_kosdaq,
069080.KQ,웹젠,KOSDAQ,naver_kosdaq,
287840.KQ,인투셀,KOSDAQ,naver_kosdaq,
049070.KQ,인탑스,KOSDAQ,naver_kosdaq,
477850.KQ,마키나락스,KOSDAQ,naver_kosdaq,
456010.KQ,아이씨티케이,KOSDAQ,naver_kosdaq,
462350.KQ,이노스페이스,KOSDAQ,naver_kosdaq,
234340.KQ,헥토파이낸셜,KOSDAQ,naver_kosdaq,
484590.KQ,삼양컴텍,KOSDAQ,naver_kosdaq,
091700.KQ,파트론,KOSDAQ,naver_kosdaq,
204620.KQ,글로벌텍스프리,KOSDAQ,naver_kosdaq,
187870.KQ,디바이스,KOSDAQ,naver_kosdaq,
317330.KQ,덕산테코피아,KOSDAQ,naver_kosdaq,
445090.KQ,에이직랜드,KOSDAQ,naver_kosdaq,
441270.KQ,파인엠텍,KOSDAQ,naver_kosdaq,
200670.KQ,휴메딕스,KOSDAQ,naver_kosdaq,
092460.KQ,한라IMS,KOSDAQ,naver_kosdaq,
064820.KQ,케이프,KOSDAQ,naver_kosdaq,
228760.KQ,지노믹트리,KOSDAQ,naver_kosdaq,
094360.KQ,칩스앤미디어,KOSDAQ,naver_kosdaq,
452430.KQ,사피엔반도체,KOSDAQ,naver_kosdaq,
272110.KQ,케이엔제이,KOSDAQ,naver_kosdaq,
475400.KQ,씨메스로보틱스,KOSDAQ,naver_kosdaq,
078340.KQ,컴투스,KOSDAQ,naver_kosdaq,
061970.KQ,LB세미콘,KOSDAQ,naver_kosdaq,
314930.KQ,바이오다인,KOSDAQ,naver_kosdaq,
236200.KQ,슈프리마,KOSDAQ,naver_kosdaq,
203650.KQ,드림시큐리티,KOSDAQ,naver_kosdaq,
136480.KQ,하림,KOSDAQ,naver_kosdaq,
378340.KQ,필에너지,KOSDAQ,naver_kosdaq,
241520.KQ,DSC인베스트먼트,KOSDAQ,naver_kosdaq,
089980.KQ,상아프론테크,KOSDAQ,naver_kosdaq,
042370.KQ,비츠로테크,KOSDAQ,naver_kosdaq,
043150.KQ,바텍,KOSDAQ,naver_kosdaq,
025770.KQ,한국정보통신,KOSDAQ,naver_kosdaq,
