ticker,name,market,sector,source
ETN,Eaton Corporation,US,Industrials,sp500
ETR,Entergy,US,Utilities,sp500
EVRG,Evergy,US,Utilities,sp500
EW,Edwards Lifesciences,US,Health Care,sp500
EXC,Exelon,US,Utilities,nasdaq100;sp500
EXE,Expand Energy,US,Energy,sp500
EXPD,Expeditors International,US,Industrials,sp500
EXPE,Expedia Group,US,Consumer Discretionary,sp500
EXR,Extra Space Storage,US,Real Estate,sp500
F,Ford Motor Company,US,Consumer Discretionary,sp500
FANG,Diamondback Energy,US,Energy,nasdaq100;sp500
FAST,Fastenal,US,Industrials,nasdaq100;sp500
FCX,Freeport-McMoRan,US,Materials,sp500
FDS,FactSet,US,Financials,sp500
FDX,FedEx,US,Industrials,sp500
FDXF,FedEx Freight,US,Industrials,sp500
FE,FirstEnergy,US,Utilities,sp500
FER,Ferrovial,US,,nasdaq100
FFIV,"F5, Inc.",US,Information Technology,sp500
FICO,Fair Isaac,US,Information Technology,sp500
FIS,Fidelity National Information Services,US,Financials,sp500
FISV,Fiserv,US,Financials,sp500
FITB,Fifth Third Bancorp,US,Financials,sp500
FIX,Comfort Systems USA,US,Industrials,sp500
FOX,Fox Corporation (Class B),US,Communication Services,sp500
FOXA,Fox Corporation (Class A),US,Communication Services,sp500
FRT,Federal Realty Investment Trust,US,Real Estate,sp500
FSLR,First Solar,US,Information Technology,sp500
FTNT,Fortinet,US,Information Technology,nasdaq100;sp500
FTV,Fortive,US,Industrials,sp500
GD,General Dynamics,US,Industrials,sp500
GDDY,GoDaddy,US,Information Technology,sp500
GE,GE Aerospace,US,Industrials,sp500
GEHC,GE HealthCare,US,Health Care,nasdaq100;sp500
GEN,Gen Digital,US,Information Technology,sp500
GEV,GE Vernova,US,Industrials,sp500
GILD,Gilead Sciences,US,Health Care,nasdaq100;sp500
GIS,General Mills,US,Consumer Staples,sp500
GL,Globe Life,US,Financials,sp500
GLW,Corning Inc.,US,Information Technology,sp500
GM,General Motors,US,Consumer Discretionary,sp500
GNRC,Generac,US,Industrials,sp500
GOOG,Alphabet Inc. (Class C),US,Communication Services,nasdaq100;sp500
GOOGL,Alphabet,US,Internet,custom;nasdaq100;sp500
GPC,Genuine Parts Company,US,Consumer Discretionary,sp500
GPN,Global Payments,US,Financials,sp500
GRMN,Garmin,US,Consumer Discretionary,sp500
GS,Goldman Sachs,US,Financials,sp500
GWW,W. W. Grainger,US,Industrials,sp500
HAL,Halliburton,US,Energy,sp500
HAS,Hasbro,US,Consumer Discretionary,sp500
HBAN,Huntington Bancshares,US,Financials,sp500
HCA,HCA Healthcare,US,Health Care,sp500
HD,Home Depot (The),US,Consumer Discretionary,sp500
HIG,Hartford (The),US,Financials,sp500
HII,Huntington Ingalls Industries,US,Industrials,sp500
HLT,Hilton Worldwide,US,Consumer Discretionary,sp500
HON,Honeywell,US,Industrials,nasdaq100;sp500
HOOD,Robinhood Markets,US,Financials,sp500
HPE,Hewlett Packard Enterprise,US,Information Technology,sp500
HPQ,HP Inc.,US,Information Technology,sp500
HRL,Hormel Foods,US,Consumer Staples,sp500
HSIC,Henry Schein,US,Health Care,sp500
HST,Host Hotels & Resorts,US,Real Estate,sp500
HSY,Hershey Company (The),US,Consumer Staples,sp500
HUBB,Hubbell Incorporated,US,Industrials,sp500
HUM,Humana,US,Health Care,sp500
HWM,Howmet Aerospace,US,Industrials,sp500
IBKR,Interactive Brokers,US,Financials,sp500
IBM,IBM,US,Information Technology,sp500
ICE,Intercontinental Exchange,US,Financials,sp500
IDXX,Idexx Laboratories,US,Health Care,nasdaq100;sp500
IEX,IDEX Corporation,US,Industrials,sp500
IFF,International Flavors & Fragrances,US,Materials,sp500
INCY,Incyte,US,Health Care,sp500
INSM,Insmed Incorporated,US,,nasdaq100
INTC,Intel,US,Information Technology,nasdaq100;sp500
INTU,Intuit,US,Information Technology,nasdaq100;sp500
INVH,Invitation Homes,US,Real Estate,sp500
IP,International Paper,US,Materials,sp500
IQV,IQVIA,US,Health Care,sp500
IR,Ingersoll Rand,US,Industrials,sp500
IRM,Iron Mountain,US,Real Estate,sp500
ISRG,Intuitive Surgical,US,Health Care,nasdaq100;sp500
IT,Gartner,US,Information Technology,sp500
ITW,Illinois Tool Works,US,Industrials,sp500
IVZ,Invesco,US,Financials,sp500
J,Jacobs Solutions,US,Industrials,sp500
JBHT,J.B. Hunt,US,Industrials,sp500
JBL,Jabil,US,Information Technology,sp500
JCI,Johnson Controls,US,Industrials,sp500
JKHY,Jack Henry & Associates,US,Financials,sp500
JNJ,Johnson & Johnson,US,Health Care,sp500
JOBY,Joby Aviation,US,eVTOL,custom
JPM,JPMorgan Chase,US,Financials,sp500
KDP,Keurig Dr Pepper,US,Consumer Staples,nasdaq100;sp500
KEY,KeyCorp,US,Financials,sp500
KEYS,Keysight Technologies,US,Information Technology,sp500
KHC,Kraft Heinz,US,Consumer Staples,nasdaq100;sp500
KIM,Kimco Realty,US,Real Estate,sp500
KKR,KKR & Co.,US,Financials,sp500
KLAC,KLA Corporation,US,Information Technology,nasdaq100;sp500
KMB,Kimberly-Clark,US,Consumer Staples,sp500
KMI,Kinder Morgan,US,Energy,sp500
KO,Coca-Cola Company (The),US,Consumer Staples,sp500
KR,Kroger,US,Consumer Staples,sp500
KVUE,Kenvue,US,Consumer Staples,sp500
L,Loews Corporation,US,Financials,sp500
LCID,Lucid,US,EV,custom
LDOS,Leidos,US,Industrials,sp500
LEN,Lennar,US,Consumer Discretionary,sp500
LH,Labcorp,US,Health Care,sp500
LHX,L3Harris,US,Industrials,sp500
LII,Lennox International,US,Industrials,sp500
LIN,Linde plc,US,Materials,nasdaq100;sp500
LITE,Lumentum,US,Information Technology,nasdaq100;sp500
LLY,Lilly (Eli),US,Health Care,sp500
LMT,Lockheed Martin,US,Industrials,sp500
LNT,Alliant Energy,US,Utilities,sp500
LOW,Lowe's,US,Consumer Discretionary,sp500
LRCX,Lam Research,US,Information Technology,nasdaq100;sp500
LULU,Lululemon Athletica,US,Consumer Discretionary,sp500
LUV,Southwest Airlines,US,Industrials,sp500
LVS,Las Vegas Sands,US,Consumer Discretionary,sp500
LYB,LyondellBasell,US,Materials,sp500
LYV,Live Nation Entertainment,US,Communication Services,sp500
MA,Mastercard,US,Financials,sp500
MAA,Mid-America Apartment Communities,US,Real Estate,sp500
MAR,Marriott International,US,Consumer Discretionary,nasdaq100;sp500
MAS,Masco,US,Industrials,sp500
MCD,McDonald's,US,Consumer Discretionary,sp500
MCHP,Microchip Technology,US,Information Technology,nasdaq100;sp500
MCK,McKesson Corporation,US,Health Care,sp500
MCO,Moody's Corporation,US,Financials,sp500
MDLZ,Mondelez International,US,Consumer Staples,nasdaq100;sp500
MDT,Medtronic,US,Health Care,sp500
MELI,Mercado Libre,US,,nasdaq100
MET,MetLife,US,Financials,sp500
META,Meta Platforms,US,Internet,custom;nasdaq100;sp500
MGM,MGM Resorts,US,Consumer Discretionary,sp500
MKC,McCormick & Company,US,Consumer Staples,sp500
MLM,Martin Marietta Materials,US,Materials,sp500
MMM,3M,US,Industrials,sp500
MNST,Monster Beverage,US,Consumer Staples,nasdaq100;sp500
MO,Altria,US,Consumer Staples,sp500
MOS,Mosaic Company (The),US,Materials,sp500
MPC,Marathon Petroleum,US,Energy,sp500
MPWR,Monolithic Power Systems,US,Information Technology,nasdaq100;sp500
MRK,Merck & Co.,US,Health Care,sp500
MRNA,Moderna,US,Health Care,sp500
MRSH,Marsh McLennan,US,Financials,sp500
MRVL,Marvell Technology,US,,nasdaq100
MS,Morgan Stanley,US,Financials,sp500
MSCI,MSCI Inc.,US,Financials,sp500
MSFT,Microsoft,US,Software,custom;nasdaq100;sp500
MSI,Motorola Solutions,US,Information Technology,sp500
MSTR,MicroStrategy,US,,nasdaq100
MTB,M&T Bank,US,Financials,sp500
MTD,Mettler Toledo,US,Health Care,sp500
MU,Micron Technology,US,Information Technology,nasdaq100;sp500
NCLH,Norwegian Cruise Line Holdings,US,Consumer Discretionary,sp500
NDAQ,"Nasdaq, Inc.",US,Financials,sp500
NDSN,Nordson Corporation,US,Industrials,sp500
NEE,NextEra Energy,US,Utilities,sp500
NEM,Newmont,US,Materials,sp500
NFLX,Netflix,US,Communication Services,nasdaq100;sp500
NI,NiSource,US,Utilities,sp500
NKE,"Nike, Inc.",US,Consumer Discretionary,sp500
NOC,Northrop Grumman,US,Industrials,sp500
NOW,ServiceNow,US,Information Technology,sp500
NRG,NRG Energy,US,Utilities,sp500
NSC,Norfolk Southern,US,Industrials,sp500
NTAP,NetApp,US,Information Technology,sp500
NTRS,Northern Trust,US,Financials,sp500
NUE,Nucor,US,Materials,sp500
NVDA,Nvidia,US,Semiconductor,custom;nasdaq100;sp500
NVR,"NVR, Inc.",US,Consumer Discretionary,sp500
NWS,News Corp (Class B),US,Communication Services,sp500
NWSA,News Corp (Class A),US,Communication Services,sp500
NXPI,NXP Semiconductors,US,Information Technology,nasdaq100;sp500
O,Realty Income,US,Real Estate,sp500
ODFL,Old Dominion,US,Industrials,nasdaq100;sp500
OKE,Oneok,US,Energy,sp500
OMC,Omnicom Group,US,Communication Services,sp500
ON,ON Semiconductor,US,Information Technology,sp500
ORCL,Oracle Corporation,US,Information Technology,sp500
ORLY,O’Reilly Automotive,US,Consumer Discretionary,nasdaq100;sp500
OTIS,Otis Worldwide,US,Industrials,sp500
OXY,Occidental Petroleum,US,Energy,sp500
PANW,Palo Alto Networks,US,Information Technology,nasdaq100;sp500
PAYX,Paychex,US,Industrials,nasdaq100;sp500
PCAR,Paccar,US,Industrials,nasdaq100;sp500
PCG,PG&E Corporation,US,Utilities,sp500
PDD,PDD Holdings,US,,nasdaq100
PEG,Public Service Enterprise Group,US,Utilities,sp500
PEP,PepsiCo,US,Consumer Staples,nasdaq100;sp500
PFE,Pfizer,US,Health Care,sp500
PFG,Principal Financial Group,US,Financials,sp500
PG,Procter & Gamble,US,Consumer Staples,sp500
PGR,Progressive Corporation,US,Financials,sp500
PH,Parker Hannifin,US,Industrials,sp500
PHM,PulteGroup,US,Consumer Discretionary,sp500
PKG,Packaging Corporation of America,US,Materials,sp500
PLD,Prologis,US,Real Estate,sp500
PLTR,Palantir,US,Software,custom;nasdaq100;sp500
PM,Philip Morris International,US,Consumer Staples,sp500
PNC,PNC Financial Services,US,Financials,sp500
PNR,Pentair,US,Industrials,sp500
PNW,Pinnacle West Capital,US,Utilities,sp500
PODD,Insulet Corporation,US,Health Care,sp500
POOL,Pool Corporation,US,Consumer Discretionary,sp500
PPG,PPG Industries,US,Materials,sp500
PPL,PPL Corporation,US,Utilities,sp500
PRU,Prudential Financial,US,Financials,sp500
PSA,Public Storage,US,Real Estate,sp500
PSKY,Paramount Skydance Corporation,US,Communication Services,sp500
PSX,Phillips 66,US,Energy,sp500
PTC,PTC Inc.,US,Information Technology,sp500
PWR,Quanta Services,US,Industrials,sp500
PYPL,PayPal,US,Financials,nasdaq100;sp500
Q,Qnity Electronics,US,Information Technology,sp500
QCOM,Qualcomm,US,Semiconductor,custom;nasdaq100;sp500
RCL,Royal Caribbean Group,US,Consumer Discretionary,sp500
REG,Regency Centers,US,Real Estate,sp500
REGN,Regeneron Pharmaceuticals,US,Health Care,nasdaq100;sp500
RF,Regions Financial Corporation,US,Financials,sp500
RJF,Raymond James Financial,US,Financials,sp500
RL,Ralph Lauren Corporation,US,Consumer Discretionary,sp500
RMD,ResMed,US,Health Care,sp500
