ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
ORCL,2025-08-01,2025-08-04,2025-08-15,243.97471552711107,246.3361053466797,230.87664489849485,270.1708567843435,time,0.1505,62,77.19,90.91,neutral,42.909771613222794,84.58,IS
GE,2025-08-01,2025-08-04,2025-08-15,269.47868625345745,266.828857421875,256.3119399979262,295.81217876452,time,-0.234,54,74.38,77.78,neutral,38.848709960025715,-119.69,IS
T,2025-08-21,2025-08-22,2025-08-22,28.519749022012427,27.762134880045668,27.762134880045668,30.034977305945944,stop,-1.0602,53,78.55,79.0,neutral,379.2504802349118,-304.63,IS
STX,2025-08-21,2025-08-22,2025-09-03,153.84970141423503,173.76525103397395,143.89192660436558,173.76525103397395,target,1.9753,60,78.59,80.0,neutral,70.3032141977014,1382.82,IS
C,2025-09-02,2025-09-03,2025-09-16,93.39665059277291,99.05615997314453,89.92501699680017,100.33991778471841,time,1.5872,68,75.8,82.0,neutral,116.67538158900653,642.89,IS
GE,2025-09-02,2025-09-03,2025-09-16,274.85807791846497,291.8530578613281,262.7529648148869,299.0683041256211,time,1.3676,59,73.99,85.0,neutral,39.64624190626644,656.35,IS
WFC,2025-09-02,2025-09-03,2025-09-16,80.4449907048974,80.11033630371094,77.29248825145802,86.74999561177616,time,-0.147,52,74.2,74.0,neutral,135.46014178833747,-62.77,IS
GEV,2025-10-13,2025-10-14,2025-10-21,633.5613580888752,587.3234939572619,587.3234939572619,726.0370863521017,stop,-1.0219,59,70.63,94.0,neutral,17.437292831756135,-823.94,IS
APH,2025-10-13,2025-10-14,2025-10-22,121.07341269528645,133.97203625690963,114.62410091447485,133.97203625690963,target,1.97,68,76.38,88.0,neutral,91.24707631464099,1159.29,IS
SATS,2025-10-13,2025-10-14,2025-10-27,74.0,74.38999938964844,68.45231192452567,85.09537615094867,time,0.049,50,73.77,97.0,neutral,149.2918233497409,40.55,IS
APP,2025-11-06,2025-11-07,2025-11-13,614.0,554.2464338030134,554.2464338030134,733.5071323939732,stop,-1.0164,70,87.19,98.0,neutral,18.054046100137413,-1096.53,IS
ASML,2025-11-06,2025-11-07,2025-11-14,1027.4974721951867,982.4339879054395,982.4339879054395,1117.624440774681,stop,-1.0365,50,76.31,70.0,neutral,10.78852708201952,-503.9,IS
SNDK,2025-12-18,2025-12-19,2026-01-05,222.2899932861328,274.0799865722656,180.9717058454241,304.9265681675502,time,1.2448,58,71.77,100.0,neutral,49.14814499319323,2527.9,IS
LITE,2025-12-31,2026-01-02,2026-01-09,379.3800048828125,333.1400059291295,333.1400059291295,471.86000279017856,stop,-1.0131,56,80.0,99.0,neutral,29.083139726409748,-1362.46,IS
