run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,6.0,2026-07-21,11305.0,-2.627,0.4307,-4.2205,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,5.0,2026-07-20,11230.0,-3.273,0.4307,-3.5745,0.0,0.0,1.0,stop_first,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,4.0,2026-07-16,11600.0,-0.0861,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,3.0,2026-07-15,11575.0,-0.3015,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,2.0,2026-07-14,11505.0,-0.9044,0.4307,-2.3686,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,491620.KS,RISE 미국테크100데일리고정커버드콜,11610.0,11959.32,12098.13,11330.54,good,,,1.0,2026-07-13,11530.0,-0.6891,0.4307,-0.6891,0.0,0.0,0.0,none,tracking,11610.0,0.0
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,10.0,2026-07-27,77800.0,0.2577,6.5722,-6.1856,0.0,0.0,0.0,none,completed,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,9.0,2026-07-24,76100.0,-1.933,6.5722,-6.1856,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,8.0,2026-07-23,76400.0,-1.5464,6.5722,-6.1856,0.0,0.0,0.0,none,tracking,77700.0,0.1289
2026-07-12,kr,kospi_kosdaq,383220.KS,F&F,77600.0,83000.0,86100.0,71660.0,good,,손익비 기준 미달: 0.84 < 1.20,7.0,2026-07-22,74000.0,-4.6392,6.5722,-6.0567,0.0,0.0,0.0,none,tracking,77700.0,0.1289
