rank,current_price,previous_close,return_1d,return_5d,return_20d,ma20,ma50,ma200,rsi14,macd,macd_signal,macd_hist,macd_hist_prev,atr14,atr_pct,volume,volume_avg20,volume_ratio,cmf20,obv,high20,high60,high252,low20,low60,valid,exclude_reason,stop_loss,target1,target2,expected_return_1,expected_return_2,downside_risk,risk_reward,vcp_score,vcp_contractions,vcp_contraction_depths,vcp_volume_dryup,vcp_atr_compression,pivot_price,dist_to_pivot_pct,vcp_status,weekly_trend_ok,weekly_ma30,weekly_trend_reason,regime_state,regime_score,regime_message,trend_score,volume_score,momentum_score,macd_score,position_score,risk_reward_score,risk_penalty,base_score,final_score,decision,earnings_in_window,next_earnings_date,earnings_unknown,data_quality_flag,data_quality_reasons,zero_volume_ratio,stale_price_ratio,rows_after_quality,risk_reward_status_code,risk_reward_status_label,risk_reward_message,risk_reward_detail,chart_type,rs_rank,expected_r,valid_signal,signal_date,is_sample_data,evidence_points,risk_points,summary,ticker,market_region,universe_mode,name,market,sector,source,ticker_base,industry,sector_source,updated_at,market_regime,market_comment,market_return_5d,market_above_ma20,market_above_ma60,market_above_ma200,prev_close,last_open,last_close,last_day_return,open_gap,intraday_return,distance_from_ma20,distance_from_ma60,chase_risk_warning,score,adjusted_score,chart_type_penalty,quality_penalty,data_source,data_quality,data_warning,passed_liquidity_filter,liquidity_warning,filter_reason,avg_dollar_volume_20d,passed_risk_reward_filter,risk_reward_warning,force_inflow_pct,force_inflow_source,force_inflow_grade,fi_cmf20,fi_obv_slope,fi_vol_asym,fi_accum_bar_ratio,fi_box_breakout,force_position,position_multiplier,price_percentile_252,force_penalty,force_sequence,chart_score,composite_score,composite_source,selection_reason,caution,consecutive_recommendation_days,recommended_count_last_5_sessions,consecutive_recommendation_comment,sector_count_in_top5,sector_concentration_warning
66,8650.0,8920.0,-3.03,21.66,42.74,6447.5,5786.4,6368.72,75.28,720.54,408.35,312.19,314.76271895523723,611.43,7.07,4052496.0,3976024.3,1.02,0.3749322675875429,420640778.0,8920.0,8920.0,11010.0,5390.0,3885.0,True,손익비 부족; RSI 과열,7427.14,8920.0,10178.57,3.12,17.67,16.46,0.19,0.0,0,[],0.0,0.0,9110.0,0.0,해당없음,True,6905.5,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,6,8,6,3,-5,-21,27,35,제외,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,상대강도 우위,90.43,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['RSI가 70 이상이라 단기 과열 가능성을 확인해야 합니다.', '5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","상대강도 우위 유형이며 점수는 35점, 손익비는 0.19입니다.",036540.KQ,kr,kospi_kosdaq,SFA반도체,KOSDAQ,반도체,naver_kosdaq,036540,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,8920.0,8970.0,8650.0,-3.03,0.56,-3.57,34.16,49.49,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,35.0,37.0,2.0,0.0,real,good,,True,,,29290122483.0,False,손익비 기준 미달: 0.19 < 1.20,67.9,proxy,inflow,0.37,0.67,3.43,0.35,0.0,overheated,0.8,69.45,0.0,7.5,37.0,49.4,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,0,0,,1,
67,47600.0,46800.0,1.71,-2.66,5.9,46687.5,45664.0,52628.64,53.76,544.0,482.19,61.81,91.46453204865952,1542.86,3.24,134611.0,134662.65,1.0,0.11960749813308431,11395840.0,49300.0,49300.0,67500.0,43800.0,42250.0,True,점수 기준 미달,46687.5,49300.0,51457.14,3.57,8.1,1.95,1.83,0.0,0,[],0.0,0.0,50900.0,0.0,해당없음,False,52840.0,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,25,3,15,6,2,6,0,57,42,제외,False,,True,good,,0.0,0.0,485,normal,무난,손익비는 무난한 편입니다.,목표가와 손절가의 균형이 보통 수준입니다.,관찰 패턴,53.88,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"관찰 패턴 유형이며 점수는 42점, 손익비는 1.83입니다.",051600.KS,kr,kospi_kosdaq,한전KPS,KOSPI,화학·에너지,naver_kospi,051600,전기유틸리티,naver,2026-06-28T13:36:30,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,46800.0,46850.0,47600.0,1.71,0.11,1.6,1.95,4.24,,42.0,40.0,-2.0,0.0,real,good,,True,,,6354304612.5,True,,62.6,proxy,inflow,0.12,0.42,1.65,0.15,0.0,neutral,1.0,21.19,0.0,7.5,40.0,49.0,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비는 무난한 편입니다.,0,0,,0,
68,78700.0,76800.0,2.47,-1.01,-3.2,77175.0,73130.0,77207.5,52.27,285.63,226.32,59.32,-29.507983229912355,4689.29,5.96,66313.0,107746.1,0.62,-0.15306467629216783,83753688.0,79900.0,92600.0,158800.0,70100.0,51400.0,True,거래량 부족; 손익비 부족,77175.0,79900.0,90423.21,1.52,14.9,1.98,0.77,0.0,0,[],0.0,0.0,98400.0,0.0,해당없음,True,77806.67,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,12,10,11,-5,-5,53,50,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,관찰 패턴,96.78,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","관찰 패턴 유형이며 점수는 50점, 손익비는 0.77입니다.",090360.KQ,kr,kospi_kosdaq,로보스타,KOSDAQ,조선·기계·방산,naver_kosdaq,090360,기계,naver,2026-06-28T13:37:08,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,76800.0,77200.0,78700.0,2.47,0.52,1.94,1.98,7.62,,50.0,48.0,-2.0,0.0,real,good,,True,,,8331948365.0,False,손익비 기준 미달: 0.77 < 1.20,50.5,proxy,neutral,-0.15,0.52,2.69,0.05,0.0,neutral,1.0,38.31,0.0,5.0,48.0,49.0,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,0,
69,272000.0,270000.0,0.74,0.18,18.52,251250.0,221888.0,225150.87,62.29,12662.43,11879.38,783.05,714.2057541086215,20250.0,7.44,38832.0,69608.9,0.56,0.0323662069130599,2378549.0,272000.0,287500.0,348500.0,225500.0,138200.0,True,거래량 부족,251250.0,302375.0,322625.0,11.17,18.61,8.26,1.35,0.0,0,[],0.0,0.0,301500.0,0.0,해당없음,True,250216.67,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,10,9,3,-10,62,54,관찰 후보,False,,True,good,,0.0,0.0,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,관찰 패턴,93.87,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 54점, 손익비는 1.35입니다.",064760.KQ,kr,kospi_kosdaq,티씨케이,KOSDAQ,반도체,naver_kosdaq,064760,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,270000.0,270000.0,272000.0,0.74,0.0,0.74,8.26,22.58,,54.0,52.0,-2.0,0.0,real,good,,True,,,17787268150.0,True,,44.3,proxy,neutral,0.03,0.35,1.6,0.05,0.0,neutral,1.0,68.42,0.0,7.5,52.0,48.9,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,1,
70,72200.0,70500.0,2.41,0.14,6.49,67445.0,73136.0,59360.24,53.8,-384.87,-1324.07,939.2,802.8843350415564,4778.57,6.62,143975.0,166785.1,0.86,0.2496841032387067,8264106.0,72200.0,117500.0,117500.0,62400.0,55100.0,True,추세 약화,67445.0,79367.86,84146.43,9.93,16.55,7.05,1.41,0.0,0,[],0.0,0.0,124800.0,0.0,해당없음,True,67420.0,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,15,3,20,10,9,3,-16,44,45,제외,False,,True,good,,0.0,0.0,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,관찰 패턴,93.09,,True,2026-09-17,False,"['RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"관찰 패턴 유형이며 점수는 45점, 손익비는 1.41입니다.",281820.KS,kr,kospi_kosdaq,케이씨텍,KOSPI,반도체,naver_kospi,281820,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,70500.0,70700.0,72200.0,2.41,0.28,2.12,7.05,-1.28,,45.0,43.0,-2.0,0.0,real,good,,True,,,11413025265.0,True,,57.3,proxy,neutral,0.25,0.25,1.69,0.05,0.0,neutral,1.0,47.29,0.0,2.5,43.0,48.7,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,1,
71,9400.0,8850.0,6.21,16.05,32.02,8258.0,7647.2,9044.3,60.61,377.99,307.17,70.82,48.77274439002309,801.43,8.53,1624780.0,1560286.75,1.04,0.17310105252194405,152844018.0,9400.0,9400.0,13840.0,6710.0,5640.0,True,손익비 부족,8258.0,10602.14,11403.57,12.79,21.31,13.83,0.92,0.0,0,[],0.0,0.0,9790.0,0.0,해당없음,False,8889.0,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,6,20,10,13,-5,-11,63,40,제외,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,신고가 근접,19.73,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","신고가 근접 유형이며 점수는 40점, 손익비는 0.92입니다.",441270.KQ,kr,kospi_kosdaq,파인엠텍,KOSDAQ,기타,naver_kosdaq,441270,핸드셋,naver,2026-06-28T13:36:26,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,8850.0,9060.0,9400.0,6.21,2.37,3.75,13.83,22.92,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,40.0,42.0,2.0,0.0,real,good,,True,,,13821353359.0,False,손익비 기준 미달: 0.92 < 1.20,58.7,proxy,neutral,0.17,0.67,1.93,0.25,0.0,overheated,0.8,45.85,0.0,2.5,42.0,48.7,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,2,
72,10500.0,9970.0,5.32,7.47,71.85,8156.5,6807.5,8060.41,73.18,1090.69,892.77,197.92,217.9560077028758,1386.43,13.2,17138541.0,9726959.0,1.76,-0.206747497074541,492161532.0,10500.0,10500.0,14303.9091796875,5850.0,4530.0,True,손익비 부족,8156.5,12579.64,13966.07,19.81,33.01,28.73,0.69,0.0,0,[],0.0,0.0,11750.0,0.0,해당없음,False,7684.5,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,8,6,13,-5,-5,62,51,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,87.03,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['RSI가 70 이상이라 단기 과열 가능성을 확인해야 합니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","박스권 돌파 유형이며 점수는 51점, 손익비는 0.69입니다.",004310.KS,kr,kospi_kosdaq,현대약품,KOSPI,의약·바이오,naver_kospi,004310,제약,naver,2026-06-28T13:36:17,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,9970.0,10280.0,10500.0,5.32,3.11,2.14,28.73,54.24,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,51.0,56.0,5.0,0.0,real,good,,True,,,89610908207.0,False,손익비 기준 미달: 0.69 < 1.20,37.4,proxy,weak,-0.21,0.65,1.22,0.25,0.0,neutral,1.0,64.67,0.0,0.0,56.0,48.6,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,0,0,,0,
73,137600.0,135400.0,1.62,-5.1,46.07,123510.0,106416.0,129363.46,59.91,10367.95,9040.08,1327.87,2033.4733966437034,11721.43,8.52,452991.0,767582.05,0.59,0.23938816329858822,42364167.0,152000.0,152000.0,194800.0,90300.0,79900.0,True,거래량 부족; 손익비 부족,123510.0,152000.0,166903.57,10.47,21.3,11.41,0.92,0.0,0,[],0.0,0.0,154100.0,0.0,해당없음,False,138090.0,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,6,3,-5,-10,39,35,제외,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,관찰 패턴,65.15,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 35점, 손익비는 0.92입니다.",052690.KS,kr,kospi_kosdaq,한전기술,KOSPI,화학·에너지,naver_kospi,052690,전기유틸리티,naver,2026-06-28T13:36:30,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,135400.0,136900.0,137600.0,1.62,1.11,0.51,11.41,29.3,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,35.0,33.0,-2.0,0.0,real,good,,True,,,100878124330.0,False,손익비 기준 미달: 0.92 < 1.20,71.5,proxy,inflow,0.24,0.67,2.54,0.25,0.0,neutral,1.0,50.22,0.0,0.0,33.0,48.4,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,0,
74,7500.0,7580.0,-1.06,-2.47,29.98,6417.0,5538.8,4903.83,64.23,670.82,551.58,119.24,168.9199000097949,943.21,12.58,493521.0,3236550.5,0.15,-0.1754121808543375,96518656.0,8110.0,8110.0,8110.0,5250.0,4325.0,True,거래량 부족; 손익비 부족,6417.0,8110.0,9858.04,8.13,31.44,16.88,0.48,35.0,1,"[33.8, 42.47, 45.04]",8.075,1.253,9170.0,22.27,해당없음,True,5326.83,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,6,3,-5,-10,39,45,제외,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,관찰 패턴,85.99,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 45점, 손익비는 0.48입니다.",053260.KQ,kr,kospi_kosdaq,금강철강,KOSDAQ,기타,naver_kosdaq,053260,철강,naver,2026-06-28T13:36:51,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,7580.0,7520.0,7500.0,-1.06,-0.79,-0.27,16.88,35.41,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,45.0,43.0,-2.0,0.0,real,good,,True,,,23894555708.0,False,손익비 기준 미달: 0.48 < 1.20,56.5,proxy,neutral,-0.18,0.89,5.32,0.25,0.0,neutral,1.0,85.93,0.0,5.0,43.0,48.4,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,2,
75,18280.0,18450.0,-0.92,-0.05,7.53,18229.5,17777.8,16942.44,52.29,233.11,263.35,-30.24,-11.662461639237904,655.71,3.59,269473.0,362635.25,0.74,0.11475446327984166,47930606.0,19050.0,19050.0,20905.283203125,17110.0,15720.0,True,점수 기준 미달,18229.5,19050.0,19919.29,4.21,8.97,0.28,15.21,64.64,2,"[19.91, 19.98, 14.31]",0.73,0.881,19500.0,6.67,베이스 형성,False,17833.33,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,0,2,10,-8,49,51,관찰 후보,False,,True,good,,0.0,0.0,485,good,양호,목표 수익 대비 손실 위험이 상대적으로 작습니다.,손익비 기준으로는 우호적인 후보입니다.,VCP 베이스 형성,83.04,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"VCP base 유형이며 점수는 51점, 손익비는 15.21입니다.",139130.KS,kr,kospi_kosdaq,iM금융지주,KOSPI,금융,naver_kospi,139130,은행,naver,2026-06-28T13:35:29,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,18450.0,18550.0,18280.0,-0.92,0.54,-1.46,0.28,2.82,,51.0,53.0,2.0,0.0,real,good,,True,,,6634392395.0,True,,41.3,proxy,neutral,0.11,0.3,1.03,0.05,0.0,neutral,1.0,67.75,0.0,5.0,53.0,48.3,blend,RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,목표 수익 대비 손실 위험이 상대적으로 작습니다.,0,0,,0,
76,4635.0,3840.0,20.7,71.03,95.57,2784.5,2374.46,3012.44,84.42,365.33,197.42,167.91,89.43504759165825,330.0,7.12,75950952.0,6836301.0,11.11,0.19075824967051985,414419635.0,4635.0,4635.0,6370.0,2290.0,1835.0,True,손익비 부족; RSI 과열,3975.0,5130.0,5460.0,10.68,17.8,16.6,0.64,0.0,0,[],0.0,0.0,4800.0,0.0,해당없음,False,2721.9,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,8,10,13,-5,-21,50,32,제외,False,,True,good,,0.0041,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,11.01,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['RSI가 70 이상이라 단기 과열 가능성을 확인해야 합니다.', '5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","박스권 돌파 유형이며 점수는 32점, 손익비는 0.64입니다.",201490.KQ,kr,kospi_kosdaq,미투온,KOSDAQ,IT·소프트웨어,naver_kosdaq,201490,게임엔터테인먼트,naver,2026-06-28T13:35:06,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,3840.0,4170.0,4635.0,20.7,8.59,11.15,66.46,95.2,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,32.0,37.0,5.0,0.0,real,good,,True,,,26122508541.75,False,손익비 기준 미달: 0.64 < 1.20,65.3,proxy,inflow,0.19,0.17,2.82,0.25,1.0,overheated,0.8,61.74,0.0,10.0,37.0,48.3,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,0,0,,1,
